6752, 64, 0, 416, Floor
32, 32, 512, 288, Brick
160, 32, 640, 288, Brick
32, 32, 704, 160, Brick
64, 64, 896, 352, Pipe
64, 96, 1216, 320, Pipe
64, 128, 1472, 288, Pipe
64, 160, 1824, 288, Pipe
96, 32, 2464, 288, Brick
256, 32, 2560, 160, Brick
128, 32, 2912, 160, Brick
32, 32, 3008, 288, Brick
64, 32, 3200, 288, Brick
32, 32, 3392, 288, Brick
32, 32, 3488, 288, Brick
32, 32, 3488, 160, Brick
32, 32, 3584, 288, Brick
32, 32, 3776, 288, Brick
96, 32, 3872, 160, Brick
128, 32, 4096, 160, Brick
64, 32, 4128, 288, Brick
64, 64, 5216, 352, Pipe
128, 32, 5376, 288, Brick
64, 64, 5728, 352, Pipe
