6144, 32, 0, 0, Brick
32, 384, 0, 32, Brick
2560, 64, 0, 416, Floor
160, 32, 320, 288, Brick
32, 32, 544, 384, Block
32, 64, 608, 352, Block
32, 96, 672, 320, Block
32, 128, 736, 288, Block
32, 128, 800, 288, Block
32, 96, 864, 320, Block
32, 32, 928, 256, Brick
32, 96, 992, 320, Block
32, 64, 1056, 352, Brick
32, 96, 1248, 224, Brick
32, 32, 1280, 288, Brick
32, 96, 1312, 224, Brick
64, 32, 1344, 224, Brick
32, 96, 1408, 224, Brick
32, 32, 1440, 288, Brick
32, 96, 1472, 224, Brick
64, 160, 1664, 160, Brick
64, 128, 1728, 32, Brick
64, 96, 1728, 288, Brick
192, 128, 1856, 32, Brick
192, 32, 1856, 288, Brick
64, 128, 1984, 160, Brick
128, 128, 2112, 32, Brick
32, 160, 2144, 160, Brick
32, 32, 2176, 288, Brick
32, 64, 2208, 256, Brick
64, 160, 2304, 160, Brick
128, 128, 2432, 32, Brick
128, 32, 2432, 288, Brick
1184, 64, 2656, 416, Floor
192, 64, 2688, 224, Brick
64, 96, 3296, 320, Pipe
64, 128, 3488, 288, Pipe
64, 64, 3680, 352, Pipe
64, 160, 3904, 320, Floor/Brick
384, 64, 4032, 416, Floor
160, 32, 4256, 384, Block
128, 32, 4288, 352, Block
96, 32, 4320, 320, Block
64, 32, 4352, 288, Block
96, 32, 4472, 224, Brick
96, 32, 4472, 416, Brick
192, 32, 4640, 256, Brick
256, 64, 4640, 416, Floor
96, 32, 4952, 288, Brick
1024, 64, 5120, 416, Floor
288, 32, 5184, 384, Block
256, 32, 5216, 352, Block
224, 32, 5248, 320, Block
192, 32, 5280, 288, Block
160, 32, 5312, 256, Block
128, 32, 5344, 224, Block
96, 32, 5376, 192, Block
64, 32, 5408, 160, Block
32, 32, 5728, 384, Block
64, 384, 6080, 32, Brick
