2208, 64, 0, 416, Floor
480, 64, 2272, 416, Floor
2048, 64, 2848, 416, Floor
1792, 64, 4960, 416, Floor
32, 32, 512, 288, Brick
160, 32, 640, 288, Brick
32, 32, 704, 160, Brick
64, 64, 896, 352, Pipe
64, 96, 1216, 320, Pipe
64, 128, 1472, 288, Pipe
64, 160, 1824, 288, Pipe
96, 32, 2464, 288, Brick
256, 32, 2560, 160, Brick
128, 32, 2912, 160, Brick
32, 32, 3008, 288, Brick
64, 32, 3200, 288, Brick
32, 32, 3392, 288, Brick
32, 32, 3488, 288, Brick
32, 32, 3488, 160, Brick
32, 32, 3584, 288, Brick
32, 32, 3776, 288, Brick
96, 32, 3872, 160, Brick
128, 32, 4096, 160, Brick
64, 32, 4128, 288, Brick
128, 32, 4288, 384, Block
96, 32, 4320, 352, Block
64, 32, 4352, 320, Block
32, 32, 4384, 288, Block
32, 32, 4480, 288, Block
64, 32, 4480, 320, Block
96, 32, 4480, 352, Block
128, 32, 4480, 384, Block
160, 32, 4736, 384, Block
128, 32, 4768, 352, Block
96, 32, 4800, 320, Block
64, 32, 4832, 288, Block
32, 32, 4960, 288, Block
64, 32, 4960, 320, Block
96, 32, 4960, 352, Block
128, 32, 4960, 384, Block
64, 64, 5216, 352, Pipe
128, 32, 5376, 288, Brick
64, 64, 5728, 352, Pipe
288, 32, 5792, 384, Block
256, 32, 5824, 352, Block
224, 32, 5856, 320, Block
192, 32, 5888, 288, Block
160, 32, 5920, 256, Block
128, 32, 5952, 224, Block
96, 32, 5984, 192, Block
64, 32, 6016, 160, Block
32, 32, 6336, 384, Block
